825 2473
478 538 98
341 704 469
298 18 968
94 607 790
329 729 960
812 809 884
565 651 647
560 240 998
609 667 118
5 425 877
816 461 417
166 531 601
128 456 959
631 423 7
399 11 401
327 823 511
409 601 118
278 273 928
391 168 848
728 252 574
671 521 167
180 631 435
148 457 212
464 157 327
724 432 661
372 593 521
768 116 143
760 538 731
680 821 670
458 154 379
244 79 941
370 749 227
152 265 709
10 9 69
547 168 349
440 95 276
424 318 539
617 402 856
669 531 692
523 501 86
425 143 16
125 208 604
43 393 273
291 523 876
739 687 757
531 760 551
738 737 597
146 293 744
380 17 523
208 169 470
476 406 410
174 74 914
563 725 834
706 109 308
249 605 623
78 7 621
30 109 240
568 315 604
504 258 703
144 302 758
686 701 673
292 234 793
748 358 466
259 436 211
572 333 454
399 698 867
819 706 831
796 72 993
621 772 726
446 501 709
65 59 33
202 46 415
735 142 133
271 20 477
476 336 575
208 758 575
207 200 66
547 744 121
687 408 805
232 49 687
403 29 249
567 558 571
792 87 838
656 714 399
105 109 552
540 204 142
48 223 976
392 592 557
252 304 734
376 615 224
267 332 502
694 254 836
816 294 780
237 581 815
729 61 336
100 451 845
666 663 364
42 181 323
289 7 767
552 258 602
691 643 568
411 461 207
485 803 489
541 269 122
84 809 837
576 735 504
198 338 187
417 618 970
165 512 409
115 215 865
777 542 341
235 540 995
278 272 282
772 98 622
516 221 287
68 147 250
69 683 625
387 36 187
58 252 489
525 238 36
443 42 745
702 5 899
637 795 127
683 477 405
742 800 490
158 659 687
292 245 550
803 543 902
697 371 172
86 322 445
305 454 931
92 749 164
246 633 393
577 561 441
214 183 715
563 588 649
376 252 253
537 722 604
751 268 15
279 639 274
374 412 707
384 450 717
